year,n,pearson_r,pearson_p,spearman_rho,spearman_p
2016,105,-0.22841850505144576,0.019096148669563325,-0.251761252347254,0.009575963079542959
2017,242,-0.11594586811909319,0.07179235854504502,-0.1037587269703925,0.10737635642399829
2018,241,-0.30614897920386674,1.267179063582532e-06,-0.28320970488247615,7.988121365608124e-06
2019,241,-0.3145757011969513,6.187313736955312e-07,-0.2579032269087039,5.085298263446916e-05
2020,241,-0.3931104259136432,2.490537482257576e-10,-0.3392769285530313,6.640057919244175e-08
2021,241,-0.09624627847586673,0.13626721656250051,-0.09454354922734173,0.1433690368628074
2022,240,-0.2236434583654663,0.00048139370022300224,-0.20691996058160383,0.001264949830149644
2023,240,-0.09411889348114517,0.14602949520505937,-0.1718435348280285,0.007626636204957302
2024,240,-0.0712371871684784,0.2716646400488677,-0.01814146811848163,0.7797827762194776
2025,241,-0.24697488535622283,0.00010691605755737673,-0.21489957079644972,0.0007847635064714854
2026,133,-0.15835039611209095,0.06869027721113982,-0.1396627617302735,0.10886088648664653
