k_common_sessions,definition,n,pearson_r,pearson_p,spearman_rho,spearman_p,pearson_q_bh
-5,ΔOAS(t) vs CSI return(t+k); k>0 tests future CSI return,2401,5.068782749948191e-05,0.9980193252761185,0.0037309719011615274,0.8550153223586017,0.9980193252761185
-4,ΔOAS(t) vs CSI return(t+k); k>0 tests future CSI return,2402,-0.01803368969212141,0.37699503740499823,0.000604925183817438,0.9763604831650236,0.5924207730649972
-3,ΔOAS(t) vs CSI return(t+k); k>0 tests future CSI return,2403,-0.010442932995320089,0.6088859124333778,0.0069855037403368835,0.7321565743180917,0.7441938929741283
-2,ΔOAS(t) vs CSI return(t+k); k>0 tests future CSI return,2404,-0.014268701988853804,0.4843803147000762,-0.013162839058805423,0.5188790903239977,0.6660229327126047
-1,ΔOAS(t) vs CSI return(t+k); k>0 tests future CSI return,2405,-0.01892419899959178,0.353584774124891,-0.011218647371358071,0.5823860998991145,0.5924207730649972
0,ΔOAS(t) vs CSI return(t+k); k>0 tests future CSI return,2405,-0.23162045565551187,1.1773799716540561e-30,-0.19192131293522224,2.1919574534244758e-21,1.2951179688194617e-29
1,ΔOAS(t) vs CSI return(t+k); k>0 tests future CSI return,2404,-0.07532389474943395,0.00021858600960654453,-0.08916299148745593,1.1968342689023271e-05,0.001202223052835995
2,ΔOAS(t) vs CSI return(t+k); k>0 tests future CSI return,2403,-0.026668795676438872,0.19125776472279513,-0.00994818761482955,0.6259589517727945,0.4207670823901493
3,ΔOAS(t) vs CSI return(t+k); k>0 tests future CSI return,2402,-0.02890974356092377,0.15664937611133284,-0.02539865231630828,0.2133722901133035,0.4207670823901493
4,ΔOAS(t) vs CSI return(t+k); k>0 tests future CSI return,2401,-0.0013443203051915278,0.9475072619298248,-0.023134929213135317,0.2571416657589972,0.9980193252761185
5,ΔOAS(t) vs CSI return(t+k); k>0 tests future CSI return,2400,-0.046168679561527745,0.02370840752524817,-0.002802879475435282,0.8908401255540359,0.08693082759257663
