date,open,high,low,close,vol,amount
2019-01-02,6.42,6.62,6.33,6.46,159788,255536965.0
2019-01-03,6.45,6.73,6.45,6.53,185942,300718080.0
2019-01-04,6.41,6.63,6.2,6.46,217772,344093520.0
2019-01-07,6.48,6.6,6.2,6.59,229526,362032400.0
2019-01-08,6.51,7.44,6.46,7.32,455757,780524880.0
2019-01-09,7.09,7.09,6.62,6.78,443944,738441648.0
2019-01-10,6.79,6.86,6.57,6.68,191744,313324528.0
2019-01-11,6.63,6.7,6.52,6.65,126266,204384480.0
2019-01-14,6.54,6.76,6.54,6.63,89254,145423615.0
2019-01-15,6.56,6.81,6.56,6.75,128985,211278314.0
2019-01-16,6.75,6.76,6.53,6.57,115843,187462112.0
2019-01-17,6.57,6.65,6.22,6.26,139177,220229149.0
2019-01-18,6.35,6.54,6.31,6.5,136931,217972483.0
2019-01-21,6.52,6.64,6.44,6.63,120434,193910965.0
2019-01-22,6.56,6.93,6.51,6.64,180436,296930896.0
2019-01-23,6.68,6.82,6.51,6.72,147178,240299680.0
2019-01-24,6.69,7.18,6.62,6.99,294094,495813584.0
2019-01-25,6.97,7.76,6.95,7.44,369465,654112752.0
2019-01-28,7.44,7.74,7.38,7.38,201492,360803152.0
2019-01-29,7.47,7.6,7.25,7.41,190484,339133936.0
2019-01-30,7.34,7.53,7.25,7.25,118545,209231704.0
2019-01-31,7.35,7.55,7.04,7.18,164930,289079184.0
2019-02-01,7.3,7.81,7.29,7.68,218398,396074304.0
2019-02-11,7.73,8.11,7.68,8.03,224966,420359904.0
2019-02-12,8.02,8.17,7.87,8.03,147530,278038704.0
2019-02-13,8.03,8.11,7.87,7.97,183397,344157680.0
2019-02-14,7.93,8.39,7.83,8.16,229930,440458064.0
2019-02-15,8.07,8.07,7.77,7.81,201236,374357744.0
2019-02-18,7.65,8.12,7.64,8.09,183870,344803424.0
2019-02-19,8.26,8.29,7.78,7.91,193353,363994816.0
2019-02-20,8.0,8.23,7.87,7.95,161279,304908976.0
2019-02-21,7.98,8.26,7.8,7.98,222540,421194224.0
2019-02-22,7.91,8.06,7.89,8.01,163245,306490592.0
