report_date,report_name,notice_date,update_date,quarter_parent_profit,quarter_deduct_profit,quarter_revenue,ttm_parent_profit,ttm_deduct_profit,ttm_revenue
2018-03-31,2018一季度,2018-05-22,2019-04-27,413347159.22,269069781.63,3711641230.77,,,
2018-06-30,2018二季度,2018-08-24,2019-08-24,497607128.78,428173831.63,5647939437.35,,,
2018-09-30,2018三季度,2018-10-26,2019-10-26,1467545722.06,1287843044.19,9776343092.25,,,
2018-12-31,2018四季度,2019-04-25,2020-04-25,1008535197.58,1143228125.93,10475341673.85,3387035207.64,3128314783.38,29611265434.22
2019-03-31,2019一季度,2019-04-27,2020-04-28,1047233226.95,915698001.82,9981855666.38,4020921275.37,3774943003.57,35881479869.83
2019-06-30,2019二季度,2019-08-24,2020-08-27,1055201915.75,902845356.33,10281988504.06,4578516062.34,4249614528.270001,40515528936.54
2019-09-30,2019三季度,2019-10-26,2020-10-28,1361870124.86,1146003216.39,12591862365.64,4472840465.139999,4107774700.47,43331048209.93
2019-12-31,2019四季度,2020-04-25,2021-04-28,1096002165.15,950674125.46,12932314106.33,4560307432.71,3915220700.0,45788020642.41
2020-03-31,2020一季度,2020-04-28,2021-04-30,742043183.2,428196075.68,9030794052.46,4255117388.96,3427718773.86,44836959028.49
2020-06-30,2020二季度,2020-08-27,2021-08-26,1195237907.3,948440948.76,9798659080.51,4395153380.51,3473314366.29,44353629604.939995
2020-09-30,2020三季度,2020-10-28,2021-10-28,1419593953.05,1190776850.95,12693027797.0,4452877208.7,3518088000.85,44454795036.3
2020-12-31,2020四季度,2021-04-28,2022-04-22,2226463656.45,1697280524.61,18797006770.03,5583338700.0,4264694400.0,50319487700.0
2021-03-31,2021一季度,2021-04-30,2022-04-30,1954417200.0,1672086100.0,19166685200.0,6795712716.799999,5508584424.32,60455378847.53999
2021-06-30,2021二季度,2021-08-26,2022-08-24,2529370400.0,2246409000.0,24907875400.0,8129845209.5,6806552475.559999,75564595167.03
2021-09-30,2021三季度,2021-10-28,2022-10-22,3267358100.0,2685099518.67,29286984900.0,9977609356.45,8300875143.28,92158552270.03
2021-12-31,2021四季度,2022-04-22,2023-03-10,8180172200.0,6838769681.33,56994250900.0,15931317900.0,13442364300.0,130355796400.0
2022-03-31,2022一季度,2022-04-30,2023-04-21,1492804600.0,977020300.0,48678419100.0,15469705300.0,12747298500.0,159867530300.0
2022-06-30,2022二季度,2022-08-24,2023-07-26,6675230000.0,6074266700.0,64292838800.0,19615564900.0,16575156200.0,199252493700.0
2022-09-30,2022三季度,2022-10-22,2023-10-20,9423557100.0,8987098200.0,97368982600.0,25771763900.0,22877154881.33,267334491400.0
2022-12-31,2022四季度,2023-03-10,2024-03-16,13137571800.0,12174712800.0,118253747000.0,30729163500.0,28213098000.0,328593987500.0
2023-03-31,2023一季度,2023-04-21,2024-04-16,9822265100.0,7800056700.0,89038465300.0,39058624000.0,35036134400.0,368954033700.0
2023-06-30,2023二季度,2023-07-26,2024-07-27,10894999400.0,9752940000.0,100207576000.0,43278393400.0,38714807700.0,404868770900.0
2023-09-30,2023三季度,2023-10-20,2024-10-19,10428209100.0,9428005300.0,105431209300.0,44283045400.0,39155714800.0,412930997600.0
2023-12-31,2023四季度,2024-03-16,2025-03-15,12975774400.0,13110672000.0,106239794400.0,44121248000.0,40091674000.0,400917045000.0
2024-03-31,2024一季度,2024-04-16,2025-04-15,10509923000.0,9247439000.0,79770779000.0,44808905900.0,41539056300.0,391649358700.0
2024-06-30,2024二季度,2024-07-27,2025-07-31,12355064000.0,10806502000.0,86996055000.0,46268970500.0,42592618300.0,378437837700.0
2024-09-30,2024三季度,2024-10-19,2025-10-21,13136087000.0,12122470100.0,92277915000.0,48976848400.0,45287083100.0,365284543400.0
2024-12-31,2024四季度,2025-03-15,2026-03-10,14743608000.0,12816507900.0,102967805000.0,50744682000.0,44992919000.0,362012554000.0
2025-03-31,2025一季度,2025-04-15,2026-04-16,13962558000.0,11829172000.0,84704589000.0,54197317000.0,47574652000.0,366946364000.0
2025-06-30,2025二季度,2025-07-31,2025-07-31,16522581000.0,15368296000.0,94181664000.0,58364834000.0,52136446000.0,374131973000.0
2025-09-30,2025三季度,2025-10-21,2025-10-21,18548970000.0,16421757000.0,104185734000.0,63777717000.0,56435732900.0,386039792000.0
2025-12-31,2025四季度,2026-03-10,2026-03-10,23167173000.0,20888640000.0,140629847000.0,72201282000.0,64507865000.0,423701834000.0
2026-03-31,2026一季度,2026-04-16,2026-04-16,20737710000.0,18092638000.0,129131041000.0,78976434000.0,70771331000.0,468128286000.0
