date,close_raw,total_mv,total_shares,pe_ttm,pe_static
2019-03-19,38.36,3068798158.72,79999952,25.9926402,25.9926402
2019-03-20,42.2,3375997974.4,79999952,28.59461461,28.59461461
2019-03-21,46.42,3713597771.84,79999952,31.45407607,31.45407607
2019-03-22,51.06,4084797549.12,79999952,34.59812848,34.59812848
2019-03-25,56.17,4493597303.84,79999952,38.06065172,38.06065172
2019-03-26,61.79,4943197034.08,79999952,41.86874968,41.86874968
2019-03-27,67.97,5437596737.44,79999952,46.05630225,46.05630225
2019-03-28,70.28,5622396626.56,79999952,47.62155248,47.62155248
2019-03-29,66.92,5353596787.84,79999952,45.34482487,45.34482487
2019-04-01,67.49,5399196760.48,79999952,45.73105544,45.73105544
2019-04-02,66.73,5338396796.96,79999952,45.21608134,45.21608134
2019-04-03,64.91,5192796884.32,79999952,43.98285389,43.98285389
2019-04-04,66.52,5321596807.04,79999952,45.07378587,45.07378587
2019-04-08,65.33,5226396864.16,79999952,44.26744484,44.26744484
2019-04-09,61.19,4895197062.88,79999952,41.46219118,41.46219118
2019-04-10,61.0,4879997072.0,79999952,41.33344765,41.33344765
2019-04-11,60.0,4799997120.0,79999952,40.65585015,40.65585015
2019-04-12,58.69,4695197182.88,79999952,39.76819742,39.76819742
2019-04-15,58.6,4687997187.2,79999952,39.70721365,39.70721365
2019-04-16,59.49,4759197144.48,79999952,40.31027542,40.31027542
2019-04-17,59.44,4755197146.88,79999952,40.27639555,40.27639555
2019-04-18,59.04,4723197166.08,79999952,40.00535655,40.00535655
2019-04-19,59.59,4767197139.68,79999952,40.37803517,40.37803517
2019-04-22,58.06,4644797213.12,79999952,39.341311,39.341311
2019-04-23,58.28,4662397202.56,79999952,39.49038245,39.49038245
2019-04-24,56.36,4508797294.72,79999952,38.18939524,38.18939524
2019-04-25,52.04,4163197502.08,79999952,35.00571776,35.26217403
2019-04-26,50.92,4073597555.84,79999952,34.25232799,34.50326483
2019-04-29,47.47,3797597721.44,79999952,31.93161841,32.16555344
2019-04-30,47.65,3811997712.8,79999952,32.05269891,32.28752099
2019-05-06,44.08,3526397884.16,79999952,29.651269,29.86849791
2019-05-07,45.97,3677597793.44,79999952,30.92261425,31.14915719
2019-05-08,46.0,3679997792.0,79999952,30.94279433,31.16948512
2019-05-09,45.65,3651997808.8,79999952,30.70736003,30.93232599
2019-05-10,46.53,3722397766.56,79999952,31.29930914,31.52861179
2019-05-13,45.65,3651997808.8,79999952,30.70736003,30.93232599
2019-05-14,44.89,3591197845.28,79999952,30.19613125,30.41735189
2019-05-15,46.18,3694397783.36,79999952,31.06387483,31.29145267
2019-05-16,48.08,3846397692.16,79999952,32.34194677,32.57888792
2019-05-17,44.74,3579197852.48,79999952,30.09523083,30.31571226
2019-05-20,43.58,3486397908.16,79999952,29.31493428,29.52969916
2019-05-21,43.99,3519197888.48,79999952,29.59072875,29.80751414
2019-05-22,43.42,3473597915.84,79999952,29.20730717,29.42128356
2019-05-23,41.46,3316798009.92,79999952,27.88887506,28.09319245
2019-05-24,41.98,3358397984.96,79999952,28.23866317,28.44554315
2019-05-27,43.0,3439997936.0,79999952,28.92478601,29.13669261
2019-05-28,42.63,3410397953.76,79999952,28.67589831,28.88598153
2019-05-29,43.32,3465597920.64,79999952,29.14004023,29.35352381
2019-05-30,44.9,3591997844.8,79999952,30.20285795,30.42412786
2019-05-31,49.39,3951197629.28,79999952,33.22314374,33.46654065
2019-06-03,48.62,3889597666.24,79999952,32.70518827,32.94479057
2019-06-04,46.1,3687997787.2,79999952,31.01006128,31.23724487
2019-06-05,46.22,3697597781.44,79999952,31.09078161,31.31855657
2019-06-06,42.98,3438397936.96,79999952,28.91133262,29.12314066
2019-06-10,42.78,3422397946.56,79999952,28.77679873,28.98762116
2019-06-11,45.3,3623997825.6,79999952,30.47192572,30.69516686
2019-06-12,44.24,3539197876.48,79999952,29.75889611,29.97691351
2019-06-13,44.85,3587997847.2,79999952,30.16922447,30.39024799
2019-06-14,42.5,3399997960.0,79999952,28.58845128,28.79789386
2019-06-17,42.46,3396797961.92,79999952,28.56154451,28.77078996
2019-06-18,44.72,3577597853.44,79999952,30.08177745,30.30216031
2019-06-19,45.08,3606397836.16,79999952,30.32393844,30.54609541
2019-06-20,44.96,3596797841.92,79999952,30.24321811,30.46478371
2019-06-21,45.79,3663197802.08,79999952,30.80153375,31.02718964
2019-06-24,45.7,3655997806.4,79999952,30.7409935,30.96620586
2019-06-25,44.66,3572797856.32,79999952,30.04141728,30.26150446
2019-06-26,44.8,3583997849.6,79999952,30.135591,30.35636811
2019-06-27,44.47,3557597865.44,79999952,29.91361008,30.13276094
2019-06-28,43.06,3444797933.12,79999952,28.96514617,29.17734846
2019-07-01,44.35,3547997871.2,79999952,29.83288975,30.05144924
2019-07-02,44.47,3557597865.44,79999952,29.91361008,30.13276094
2019-07-03,43.2,3455997926.4,79999952,29.05931989,29.27221211
2019-07-04,43.52,3481597911.04,79999952,29.27457412,29.48904331
2019-07-05,45.16,3612797832.32,79999952,30.377752,30.60030321
2019-07-08,42.51,3400797959.52,79999952,28.59517798,28.80466983
2019-07-09,42.92,3433597939.84,79999952,28.87097245,29.08248481
2019-07-10,41.91,3352797988.32,79999952,28.19157631,28.39811133
