date,close_raw,total_mv,total_shares,pe_ttm,pe_static,pe_ex_post_ntm
2019-03-19,38.36,3068798158.72,79999952,25.9926402,25.9926402,24.24322051422609
2019-03-20,42.2,3375997974.4,79999952,28.59461461,28.59461461,26.670070534419732
2019-03-21,46.42,3713597771.84,79999952,31.45407607,31.45407607,29.337077587861707
2019-03-22,51.06,4084797549.12,79999952,34.59812848,34.59812848,32.26952136226236
2019-03-25,56.17,4493597303.84,79999952,38.06065172,38.06065172,35.49900146725963
2019-03-26,61.79,4943197034.08,79999952,41.86874968,41.86874968,39.05079759056387
2019-03-27,67.97,5437596737.44,79999952,46.05630225,46.05630225,42.95650934181301
2019-03-28,70.28,5622396626.56,79999952,47.62155248,47.62155248,44.41641130708576
2019-03-29,66.92,5353596787.84,79999952,45.34482487,45.34482487,42.292917539416315
2019-04-01,67.49,5399196760.48,79999952,45.73105544,45.73105544,30.275348427187026
2019-04-02,66.73,5338396796.96,79999952,45.21608134,45.21608134,29.93441992215425
2019-04-03,64.91,5192796884.32,79999952,43.98285389,43.98285389,29.117985870628388
2019-04-04,66.52,5321596807.04,79999952,45.07378587,45.07378587,29.840215993132034
2019-04-08,65.33,5226396864.16,79999952,44.26744484,44.26744484,29.306393728672816
2019-04-09,61.19,4895197062.88,79999952,41.46219118,41.46219118,27.449230556520586
2019-04-10,61.0,4879997072.0,79999952,41.33344765,41.33344765,27.363998430262388
2019-04-11,60.0,4799997120.0,79999952,40.65585015,40.65585015,26.915408292061368
2019-04-12,58.69,4695197182.88,79999952,39.76819742,39.76819742,26.327755211018026
2019-04-15,58.6,4687997187.2,79999952,39.70721365,39.70721365,26.287382098579933
2019-04-16,59.49,4759197144.48,79999952,40.31027542,40.31027542,26.686627321578843
2019-04-17,59.44,4755197146.88,79999952,40.27639555,40.27639555,26.664197814668796
2019-04-18,59.04,4723197166.08,79999952,40.00535655,40.00535655,26.484761759388384
2019-04-19,59.59,4767197139.68,79999952,40.37803517,40.37803517,26.731486335398948
2019-04-22,58.06,4644797213.12,79999952,39.341311,39.341311,26.045143423951384
2019-04-23,58.28,4662397202.56,79999952,39.49038245,39.49038245,26.14383325435561
2019-04-24,56.36,4508797294.72,79999952,38.18939524,38.18939524,25.282540189009644
2019-04-25,52.04,4163197502.08,79999952,35.00571776,35.26217403,23.344630791981224
2019-04-26,50.92,4073597555.84,79999952,34.25232799,34.50326483,22.84220983719608
