date,open,high,low,close,vol,amount
2019-01-02,3.04,3.15,2.95,3.02,143614,118939667.0
2019-01-03,3.18,3.18,2.62,2.68,280630,226141672.0
2019-01-04,2.55,2.88,2.51,2.82,223710,179098287.0
2019-01-07,2.92,3.24,2.85,3.24,305941,255483368.0
2019-01-08,3.24,3.28,3.08,3.22,195561,165043166.0
2019-01-09,3.24,3.29,2.85,3.05,286021,239516890.0
2019-01-10,3.24,3.83,3.24,3.66,709629,630105632.0
2019-01-11,3.66,3.72,3.47,3.49,259843,229380564.0
2019-01-14,3.49,3.67,3.38,3.49,216174,189423607.0
2019-01-15,3.44,3.88,3.41,3.84,389957,349671552.0
2019-01-16,3.88,3.97,3.76,3.91,240486,219385477.0
2019-01-17,3.93,4.34,3.87,4.0,354629,331124832.0
2019-01-18,4.13,4.61,4.05,4.48,465926,446368784.0
2019-01-21,4.49,4.59,4.25,4.32,322960,311110384.0
2019-01-22,4.29,4.43,3.95,4.05,292283,273246080.0
2019-01-23,4.06,4.25,3.96,4.15,249861,234434996.0
2019-01-24,4.13,5.09,4.13,4.84,1024075,1040258544.0
2019-01-25,5.01,5.08,4.72,4.86,455286,464490704.0
2019-01-28,5.02,5.14,4.62,4.79,417907,422432304.0
2019-01-29,4.84,5.07,4.59,4.84,408423,412742080.0
2019-01-30,4.92,5.36,4.9,5.0,517499,537729152.0
2019-01-31,5.01,5.17,4.89,5.0,277906,286760624.0
2019-02-01,5.14,5.78,5.1,5.49,512606,552259744.0
2019-02-11,5.49,5.73,5.44,5.72,322419,350824880.0
2019-02-12,5.62,5.69,5.35,5.61,319803,343944352.0
2019-02-13,5.55,5.74,5.47,5.69,356419,388750832.0
2019-02-14,5.58,6.1,5.54,6.02,419740,471859920.0
2019-02-15,5.97,6.44,5.91,6.23,495397,567352064.0
2019-02-18,6.07,7.06,6.07,7.01,579688,699046464.0
2019-02-19,7.39,7.72,6.74,6.98,796625,998536240.0
2019-02-20,7.14,7.29,6.74,7.23,287959,354335376.0
2019-02-21,7.05,7.9,7.03,7.42,507912,648890176.0
2019-02-22,7.57,8.17,7.35,8.03,553700,722690640.0
2019-02-25,8.43,8.52,7.75,8.14,809500,1086009360.0
2019-02-26,8.05,8.24,7.52,7.79,754477,988802688.0
2019-02-27,7.62,7.68,6.49,6.49,1169718,1415555712.0
2019-02-28,6.37,6.86,6.15,6.64,609726,722415360.0
2019-03-01,6.68,6.92,6.55,6.74,517699,619380416.0
2019-03-04,6.9,6.97,6.47,6.67,916226,1095943088.0
2019-03-05,6.64,6.82,6.42,6.73,612614,727145088.0
2019-03-06,6.72,6.85,6.42,6.57,601901,714466320.0
2019-03-07,6.57,6.59,6.08,6.22,616678,711824544.0
2019-03-08,6.15,6.59,5.96,6.08,539495,622835040.0
2019-03-11,6.06,7.21,6.05,7.21,1090322,1325883280.0
2019-03-12,7.21,7.69,7.09,7.35,807729,1021589440.0
2019-03-13,7.23,7.48,6.84,7.37,473386,588787024.0
2019-03-14,7.34,7.8,7.07,7.23,662155,839899184.0
2019-03-15,7.45,7.69,7.35,7.54,586468,751540752.0
2019-03-18,7.48,7.51,6.93,7.29,445726,554268368.0
2019-03-19,7.28,7.29,7.02,7.09,321271,398026896.0
2019-03-20,7.07,7.26,6.79,7.15,317836,389963264.0
2019-03-21,7.15,7.22,6.93,6.99,254352,312249840.0
2019-03-22,6.93,6.97,6.36,6.55,517622,612607232.0
2019-03-25,6.41,6.73,6.19,6.23,396460,464125760.0
2019-03-26,6.49,6.49,5.95,5.99,288813,329819904.0
2019-03-27,6.11,6.22,5.84,6.07,224905,254418145.0
2019-03-28,6.05,6.45,5.94,6.24,278713,321711424.0
2019-03-29,6.32,6.94,6.24,6.9,509415,609056320.0
2019-04-01,6.9,8.12,6.9,8.12,816503,1062220192.0
2019-04-02,8.6,8.86,8.22,8.55,780885,1081773024.0
2019-04-03,8.55,8.64,8.34,8.55,367608,505074976.0
2019-04-04,8.56,8.69,8.05,8.1,458450,618627264.0
2019-04-08,8.19,8.54,7.79,8.04,395496,530222640.0
2019-04-09,7.76,8.04,7.69,7.77,297194,389113024.0
2019-04-10,7.84,8.19,7.71,7.97,335744,442851824.0
2019-04-11,8.14,8.21,6.84,7.44,623169,791504384.0
2019-04-12,7.3,7.64,7.16,7.3,330522,417083216.0
2019-04-15,7.2,7.86,7.2,7.34,352636,452705600.0
2019-04-16,7.37,7.68,7.0,7.58,263772,333312864.0
2019-04-17,7.72,8.67,7.64,8.57,583877,793441232.0
2019-04-18,8.62,9.59,8.31,9.04,694233,995392144.0
2019-04-19,9.05,9.49,8.79,9.34,436996,632788480.0
2019-04-22,9.53,10.39,9.41,9.62,506769,771988880.0
2019-04-23,9.74,10.06,9.23,9.28,476513,703821072.0
2019-04-24,9.59,9.8,9.14,9.42,368187,542719280.0
2019-04-25,9.73,9.76,9.08,9.14,374831,550742736.0
2019-04-26,9.19,9.54,8.85,8.97,331079,478171056.0
2019-04-29,9.11,9.65,8.95,9.29,452593,658833632.0
2019-04-30,9.09,9.29,8.61,9.01,358744,509933216.0
2019-05-06,8.59,8.91,8.19,8.68,501984,692098080.0
2019-05-07,8.89,9.72,8.55,9.54,496320,720935120.0
2019-05-08,9.34,9.51,8.89,8.99,399303,577630592.0
2019-05-09,8.75,9.44,8.63,9.43,354180,506273728.0
2019-05-10,9.49,10.24,8.87,9.82,577369,862346880.0
2019-05-13,9.55,9.74,8.95,9.49,269931,396894048.0
2019-05-14,9.11,10.28,9.11,10.09,385517,583711168.0
2019-05-15,10.25,11.52,10.11,11.29,738674,1187010832.0
2019-05-16,11.14,11.4,10.62,10.92,489634,796032880.0
2019-05-17,10.95,11.14,10.31,10.39,345410,550828336.0
2019-05-20,10.25,10.37,9.13,9.99,351232,528939792.0
2019-05-21,9.96,10.3,9.7,9.87,343863,523013904.0
2019-05-22,9.84,10.4,9.75,9.98,329707,504282160.0
2019-05-23,9.96,10.0,9.4,9.53,275555,405943312.0
2019-05-24,9.34,9.86,9.05,9.43,239278,346807120.0
2019-05-27,9.71,10.4,9.56,10.36,391275,593085952.0
2019-05-28,10.35,10.52,9.99,10.49,328273,503644032.0
2019-05-29,10.21,10.39,10.0,10.03,230968,351242512.0
2019-05-30,9.87,10.24,9.65,10.15,288823,434164848.0
2019-05-31,10.4,10.78,9.96,10.3,440122,682983920.0
2019-06-03,10.21,10.49,9.7,9.7,355895,535914016.0
2019-06-04,9.9,10.07,9.41,9.83,248873,368986752.0
2019-06-05,9.95,9.99,9.28,9.36,240405,351414768.0
2019-06-06,9.36,9.47,8.79,8.91,275340,389075600.0
2019-06-10,8.92,9.48,8.7,9.32,222589,317254256.0
2019-06-11,9.4,9.91,9.32,9.8,281400,416104416.0
2019-06-12,9.83,9.83,9.24,9.26,231694,337758736.0
2019-06-13,9.44,9.61,8.98,9.16,226031,323797136.0
2019-06-14,9.35,9.45,9.0,9.12,202146,288395296.0
2019-06-17,9.04,9.06,7.92,8.46,466077,629247264.0
2019-06-18,8.42,8.89,8.36,8.79,246712,340845344.0
2019-06-19,9.25,9.67,8.93,9.12,403882,583777168.0
2019-06-20,9.15,9.85,9.0,9.74,374264,548606304.0
2019-06-21,9.7,9.91,9.31,9.46,361605,527570352.0
2019-06-24,9.7,9.8,9.27,9.59,250566,366205584.0
2019-06-25,9.44,9.44,8.84,9.1,378809,538029712.0
2019-06-26,8.95,9.02,8.39,8.91,442003,609495488.0
2019-06-27,9.05,9.26,8.89,9.17,269140,383270992.0
2019-06-28,9.25,9.29,8.82,8.96,169627,239547063.0
2019-07-01,9.4,9.75,9.2,9.51,314115,458815536.0
2019-07-02,9.6,9.6,8.52,9.16,687367,960338000.0
2019-07-03,9.01,9.02,8.78,8.85,304315,424401952.0
2019-07-04,8.71,8.93,8.65,8.76,191245,265010548.0
2019-07-05,9.24,9.33,8.78,8.85,332333,468220096.0
2019-07-08,8.75,8.75,8.4,8.49,247329,337115456.0
2019-07-09,8.38,8.5,8.03,8.19,287509,382768896.0
2019-07-10,8.3,8.45,8.14,8.22,150315,200952397.0
2019-07-11,8.11,8.19,7.37,7.78,534675,683557984.0
2019-07-12,7.91,8.58,7.91,8.5,460942,620552704.0
2019-07-15,8.36,8.6,8.2,8.49,303353,409825344.0
2019-07-16,8.49,8.49,8.23,8.26,188733,253069876.0
2019-07-17,8.26,8.5,8.2,8.32,173880,234533274.0
2019-07-18,8.7,8.87,8.5,8.59,384536,529027472.0
2019-07-19,8.57,8.86,8.46,8.5,236167,324615456.0
2019-07-22,8.59,8.62,8.23,8.35,123227,166246726.0
2019-07-23,8.38,9.03,8.26,8.95,368080,513416688.0
2019-07-24,9.07,9.21,8.84,9.03,252754,355978720.0
2019-07-25,8.96,9.27,8.73,9.15,351709,498969488.0
2019-07-26,8.95,9.36,8.87,9.15,293361,417161648.0
2019-07-29,9.04,9.83,9.04,9.69,361213,529399952.0
2019-07-30,9.77,9.81,9.45,9.49,241424,355363088.0
2019-07-31,9.46,9.69,9.39,9.46,164145,240001095.0
2019-08-01,9.35,9.55,9.21,9.34,217707,314233568.0
2019-08-02,8.79,9.19,8.79,9.04,187808,265062206.0
2019-08-05,9.11,9.24,8.65,8.65,191482,268848496.0
2019-08-06,8.58,8.58,7.99,8.2,304160,405849024.0
2019-08-07,8.44,8.56,8.12,8.13,215587,288646096.0
2019-08-08,8.18,8.37,7.94,8.02,265699,350640896.0
2019-08-09,8.13,8.34,7.93,8.1,229143,303446128.0
2019-08-12,8.11,8.26,7.81,7.9,340079,445712112.0
2019-08-13,7.92,8.16,7.55,7.7,295205,380429040.0
2019-08-14,7.8,8.0,7.44,7.7,354676,452169088.0
2019-08-15,7.45,8.03,7.27,7.92,430405,550980960.0
2019-08-16,7.9,8.15,7.68,7.88,358832,466354496.0
2019-08-19,8.02,8.35,7.78,8.09,440550,579372064.0
2019-08-20,8.13,8.67,8.1,8.6,425147,575560144.0
2019-08-21,8.5,9.97,8.5,9.97,1092144,1611253392.0
2019-08-22,9.99,10.31,9.7,9.85,604411,908962800.0
2019-08-23,10.0,10.1,9.61,9.73,280238,416470176.0
2019-08-26,9.55,9.65,9.33,9.44,312103,454215648.0
