date,close_raw,total_mv,total_shares,pe_ttm,pe_static,pe_ex_post_ntm
2019-01-02,8.28,32146041981.6,3882372220,14.99846113,15.92376745,12.20163301025959
2019-01-03,7.94,30826035426.8,3882372220,14.38258229,15.26989294,11.700599770707868
2019-01-04,8.08,31369567537.6,3882372220,14.63617946,15.53913539,11.906907575229164
2019-01-07,8.5,33000163870.0,3882372220,15.39697097,16.34686272,12.525830988793057
2019-01-08,8.48,32922516425.6,3882372220,15.3607428,16.30839951,12.496358445290015
2019-01-09,8.31,32262513148.2,3882372220,15.05280338,15.98146226,12.245841825514155
2019-01-10,8.92,34630760202.4,3882372220,16.15776248,17.15459005,13.14475440235695
2019-01-11,8.75,33970756925.0,3882372220,15.84982306,16.8276528,12.894237782581088
2019-01-14,8.75,33970756925.0,3882372220,15.84982306,16.8276528,12.894237782581088
2019-01-15,9.1,35329587202.0,3882372220,16.48381598,17.50075891,13.410007293884332
2019-01-16,9.17,35601353257.4,3882372220,16.61061456,17.63538013,13.513161196144981
2019-01-17,9.26,35950766757.2,3882372220,16.77364131,17.80846456,13.64578764190867
2019-01-18,9.74,37814305422.8,3882372220,17.64311732,18.73158152,14.353128685981693
2019-01-21,9.58,37193125867.6,3882372220,17.35329199,18.42387587,14.117348337957353
2019-01-22,9.31,36144885368.2,3882372220,16.86421173,17.90462258,13.719469000666278
2019-01-23,9.41,36533122590.2,3882372220,17.04535257,18.09693861,13.86683171818149
2019-01-24,10.1,39211959422.0,3882372220,18.29522433,19.42391923,14.883634469036457
2019-01-25,10.12,39289606866.4,3882372220,18.33145249,19.46238244,14.9131070125395
2019-01-28,10.05,39017840811.0,3882372220,18.20465391,19.32776122,14.809953110278851
2019-01-29,10.1,39211959422.0,3882372220,18.29522433,19.42391923,14.883634469036457
2019-01-30,10.26,39833138977.2,3882372220,18.58504966,19.73162488,15.119414817060797
2019-01-31,10.26,39833138977.2,3882372220,18.58504966,19.73162488,15.119414817060797
2019-02-01,10.75,41735501365.0,3882372220,19.47263975,20.67397344,15.841492132885339
2019-02-11,10.98,42628446975.6,3882372220,19.88926367,21.11630031,16.180426383170325
