date,股票代码,open,close,high,low,volume,amount,amplitude_pct,pct_chg,change,turnover_rate
2019-01-02,600438,3.04,3.02,3.15,2.95,143614,118939667.0,6.62,0.0,0.0,0.52
2019-01-03,600438,3.18,2.68,3.18,2.62,280630,226141672.0,18.54,-11.26,-0.34,1.01
2019-01-04,600438,2.55,2.82,2.88,2.51,223710,179098287.0,13.81,5.22,0.14,0.8
2019-01-07,600438,2.92,3.24,3.24,2.85,305941,255483368.0,13.83,14.89,0.42,1.1
2019-01-08,600438,3.24,3.22,3.28,3.08,195561,165043166.0,6.17,-0.62,-0.02,0.7
2019-01-09,600438,3.24,3.05,3.29,2.85,286021,239516890.0,13.66,-5.28,-0.17,1.03
2019-01-10,600438,3.24,3.66,3.83,3.24,709629,630105632.0,19.34,20.0,0.61,2.55
2019-01-11,600438,3.66,3.49,3.72,3.47,259843,229380564.0,6.83,-4.64,-0.17,0.93
2019-01-14,600438,3.49,3.49,3.67,3.38,216174,189423607.0,8.31,0.0,0.0,0.78
2019-01-15,600438,3.44,3.84,3.88,3.41,389957,349671552.0,13.47,10.03,0.35,1.4
2019-01-16,600438,3.88,3.91,3.97,3.76,240486,219385477.0,5.47,1.82,0.07,0.86
2019-01-17,600438,3.93,4.0,4.34,3.87,354629,331124832.0,12.02,2.3,0.09,1.27
2019-01-18,600438,4.13,4.48,4.61,4.05,465926,446368784.0,14.0,12.0,0.48,1.67
2019-01-21,600438,4.49,4.32,4.59,4.25,322960,311110384.0,7.59,-3.57,-0.16,1.16
2019-01-22,600438,4.29,4.05,4.43,3.95,292283,273246080.0,11.11,-6.25,-0.27,1.05
2019-01-23,600438,4.06,4.15,4.25,3.96,249861,234434996.0,7.16,2.47,0.1,0.9
2019-01-24,600438,4.13,4.84,5.09,4.13,1024075,1040258544.0,23.13,16.63,0.69,3.68
2019-01-25,600438,5.01,4.86,5.08,4.72,455286,464490704.0,7.44,0.41,0.02,1.64
2019-01-28,600438,5.02,4.79,5.14,4.62,417907,422432304.0,10.7,-1.44,-0.07,1.5
2019-01-29,600438,4.84,4.84,5.07,4.59,408423,412742080.0,10.02,1.04,0.05,1.47
2019-01-30,600438,4.92,5.0,5.36,4.9,517499,537729152.0,9.5,3.31,0.16,1.86
2019-01-31,600438,5.01,5.0,5.17,4.89,277906,286760624.0,5.6,0.0,0.0,1.0
2019-02-01,600438,5.14,5.49,5.78,5.1,512606,552259744.0,13.6,9.8,0.49,1.84
2019-02-11,600438,5.49,5.72,5.73,5.44,322419,350824880.0,5.28,4.19,0.23,1.16
2019-02-12,600438,5.62,5.61,5.69,5.35,319803,343944352.0,5.94,-1.92,-0.11,1.15
2019-02-13,600438,5.55,5.69,5.74,5.47,356419,388750832.0,4.81,1.43,0.08,1.28
2019-02-14,600438,5.58,6.02,6.1,5.54,419740,471859920.0,9.84,5.8,0.33,1.51
2019-02-15,600438,5.97,6.23,6.44,5.91,495397,567352064.0,8.8,3.49,0.21,1.78
2019-02-18,600438,6.07,7.01,7.06,6.07,579688,699046464.0,15.89,12.52,0.78,2.08
2019-02-19,600438,7.39,6.98,7.72,6.74,796625,998536240.0,13.98,-0.43,-0.03,2.86
2019-02-20,600438,7.14,7.23,7.29,6.74,287959,354335376.0,7.88,3.58,0.25,0.97
2019-02-21,600438,7.05,7.42,7.9,7.03,507912,648890176.0,12.03,2.63,0.19,1.72
2019-02-22,600438,7.57,8.03,8.17,7.35,553700,722690640.0,11.05,8.22,0.61,1.87
2019-02-25,600438,8.43,8.14,8.52,7.75,809500,1086009360.0,9.59,1.37,0.11,2.74
2019-02-26,600438,8.05,7.79,8.24,7.52,754477,988802688.0,8.85,-4.3,-0.35,2.55
2019-02-27,600438,7.62,6.49,7.68,6.49,1169718,1415555712.0,15.28,-16.69,-1.3,3.95
2019-02-28,600438,6.37,6.64,6.86,6.15,609726,722415360.0,10.94,2.31,0.15,2.06
2019-03-01,600438,6.68,6.74,6.92,6.55,517699,619380416.0,5.57,1.51,0.1,1.75
2019-03-04,600438,6.9,6.67,6.97,6.47,916226,1095943088.0,7.42,-1.04,-0.07,3.1
2019-03-05,600438,6.64,6.73,6.82,6.42,612614,727145088.0,6.0,0.9,0.06,2.07
2019-03-06,600438,6.72,6.57,6.85,6.42,601901,714466320.0,6.39,-2.38,-0.16,2.03
2019-03-07,600438,6.57,6.22,6.59,6.08,616678,711824544.0,7.76,-5.33,-0.35,2.08
2019-03-08,600438,6.15,6.08,6.59,5.96,539495,622835040.0,10.13,-2.25,-0.14,1.82
2019-03-11,600438,6.06,7.21,7.21,6.05,1090322,1325883280.0,19.08,18.59,1.13,3.68
2019-03-12,600438,7.21,7.35,7.69,7.09,807729,1021589440.0,8.32,1.94,0.14,2.73
2019-03-13,600438,7.23,7.37,7.48,6.84,473386,588787024.0,8.71,0.27,0.02,1.6
2019-03-14,600438,7.34,7.23,7.8,7.07,662155,839899184.0,9.91,-1.9,-0.14,2.24
2019-03-15,600438,7.45,7.54,7.69,7.35,586468,751540752.0,4.7,4.29,0.31,1.98
2019-03-18,600438,7.48,7.29,7.51,6.93,445726,554268368.0,7.69,-3.32,-0.25,1.51
2019-03-19,600438,7.28,7.09,7.29,7.02,321271,398026896.0,3.7,-2.74,-0.2,1.09
2019-03-20,600438,7.07,7.15,7.26,6.79,317836,389963264.0,6.63,0.85,0.06,1.07
2019-03-21,600438,7.15,6.99,7.22,6.93,254352,312249840.0,4.06,-2.24,-0.16,0.86
2019-03-22,600438,6.93,6.55,6.97,6.36,517622,612607232.0,8.73,-6.29,-0.44,1.75
2019-03-25,600438,6.41,6.23,6.73,6.19,396460,464125760.0,8.24,-4.89,-0.32,1.34
2019-03-26,600438,6.49,5.99,6.49,5.95,288813,329819904.0,8.67,-3.85,-0.24,0.98
2019-03-27,600438,6.11,6.07,6.22,5.84,224905,254418145.0,6.34,1.34,0.08,0.76
2019-03-28,600438,6.05,6.24,6.45,5.94,278713,321711424.0,8.4,2.8,0.17,0.94
2019-03-29,600438,6.32,6.9,6.94,6.24,509415,609056320.0,11.22,10.58,0.66,1.72
2019-04-01,600438,6.9,8.12,8.12,6.9,816503,1062220192.0,17.68,17.68,1.22,2.76
2019-04-02,600438,8.6,8.55,8.86,8.22,780885,1081773024.0,7.88,5.3,0.43,2.64
2019-04-03,600438,8.55,8.55,8.64,8.34,367608,505074976.0,3.51,0.0,0.0,1.24
2019-04-04,600438,8.56,8.1,8.69,8.05,458450,618627264.0,7.49,-5.26,-0.45,1.55
2019-04-08,600438,8.19,8.04,8.54,7.79,395496,530222640.0,9.26,-0.74,-0.06,1.34
2019-04-09,600438,7.76,7.77,8.04,7.69,297194,389113024.0,4.35,-3.36,-0.27,1.0
2019-04-10,600438,7.84,7.97,8.19,7.71,335744,442851824.0,6.18,2.57,0.2,1.13
2019-04-11,600438,8.14,7.44,8.21,6.84,623169,791504384.0,17.19,-6.65,-0.53,2.11
2019-04-12,600438,7.3,7.3,7.64,7.16,330522,417083216.0,6.45,-1.88,-0.14,1.12
2019-04-15,600438,7.2,7.34,7.86,7.2,352636,452705600.0,9.04,0.55,0.04,1.19
2019-04-16,600438,7.37,7.58,7.68,7.0,263772,333312864.0,9.26,3.27,0.24,0.89
2019-04-17,600438,7.72,8.57,8.67,7.64,583877,793441232.0,13.59,13.06,0.99,1.97
2019-04-18,600438,8.62,9.04,9.59,8.31,694233,995392144.0,14.94,5.48,0.47,2.35
2019-04-19,600438,9.05,9.34,9.49,8.79,436996,632788480.0,7.74,3.32,0.3,1.48
2019-04-22,600438,9.53,9.62,10.39,9.41,506769,771988880.0,10.49,3.0,0.28,1.71
