report_date,report_name,notice_date,update_date,quarter_parent_profit,quarter_deduct_profit,quarter_revenue,ttm_parent_profit,ttm_deduct_profit,ttm_revenue
2018-03-31,2018一季度,2018-04-26,2019-04-30,543180752.9,506002411.62,3470021012.78,,,
2018-06-30,2018二季度,2018-08-31,2019-08-29,763804012.83,748370426.31,6531951846.16,,,
2018-09-30,2018三季度,2018-10-31,2019-10-31,384185761.31,334717813.09,4669308974.29,,,
2018-12-31,2018四季度,2019-04-30,2020-04-23,866793562.69,754456032.11,7316333116.61,2557964089.73,2343546683.13,21987614949.84
2019-03-31,2019一季度,2019-04-30,2020-04-23,611284942.45,596115341.04,5710190062.64,2626068279.2799997,2433659612.55,24227783999.7
2019-06-30,2019二季度,2019-08-29,2020-08-28,1398302849.08,1400252487.19,8401191409.43,3260567115.5299997,3085541673.4300003,26097023562.97
2019-09-30,2019三季度,2019-10-31,2020-10-31,1474686845.34,1414161612.66,8581998471.0,4351068199.559999,4164985473.0,30009713059.68
2019-12-31,2019四季度,2020-04-23,2021-04-21,1795277436.68,1683090703.04,10204075441.17,5279552073.55,5093620143.93,32897455384.24
2020-03-31,2020一季度,2020-04-23,2021-04-21,1863912790.42,1760885314.71,8599410768.64,6532179921.52,6258390117.6,35786676090.240005
2020-06-30,2020二季度,2020-08-28,2021-08-31,2252417876.57,2133297979.55,11541870660.5,7386294949.01,6991435609.96,38927355341.31
2020-09-30,2020三季度,2020-10-31,2021-10-29,2240497376.42,2120316491.11,13690586962.5,8152105480.09,7697590488.41,44035943832.81
2020-12-31,2020四季度,2021-04-21,2022-04-28,2195541117.4,2128588430.0,20751315196.82,8552369160.809999,8143088215.37,54583183588.46
2021-03-31,2021一季度,2021-04-21,2022-04-28,2502196754.0,2420523311.52,15854205451.51,9190653124.39,8802726212.18,61837978271.33
2021-06-30,2021二季度,2021-08-31,2022-08-25,2490858880.33,2484218754.38,19244201964.6,9429094128.15,9153646987.01,69540309575.43
2021-09-30,2021三季度,2021-10-29,2022-10-29,2562996899.95,2494572316.83,21107428727.53,9751593651.68,9527902812.73,76957151340.45999
2021-12-31,2021四季度,2022-04-28,2023-07-13,1529827979.02,1426737742.25,24402030730.55,9085880513.3,8826052124.98,80607866874.19
2022-03-31,2022一季度,2022-04-28,2023-04-28,2663883452.32,2646992034.22,18587391831.53,9247567211.62,9052520847.68,83341053254.20999
2022-06-30,2022二季度,2022-08-25,2023-08-31,3816712540.83,3757835198.2,31781900370.55,10573420872.12,10326137291.5,95878751660.16
2022-09-30,2022三季度,2022-10-29,2023-10-31,4495475946.74,4249243967.5,36321538014.87,12505899918.91,12080808942.17,111092860947.5
2022-12-31,2022四季度,2023-04-28,2024-04-30,3835504857.97,3759872018.95,42307281334.23,14811576797.86,14413943218.87,128998111551.18
2023-03-31,2023一季度,2023-04-28,2024-04-30,3637422601.1,3591475396.02,28318772670.38,15785115946.64,15358426580.669998,138729492390.03
2023-06-30,2023二季度,2023-08-31,2024-08-31,5540955005.89,5468649270.05,36333610420.78,17509358411.7,17069240652.52,143281202440.26
2023-09-30,2023三季度,2023-10-31,2024-10-31,2515338750.95,2454173270.69,29447759003.26,15529221215.91,15274169955.71,136407423428.65
2023-12-31,2023四季度,2024-04-30,2025-05-07,-942290801.56,-651956680.280001,35397532097.78,10751425556.38,10862341256.48,129497674192.19998
2024-03-31,2024一季度,2024-04-30,2025-04-30,-2350256332.45,-2419421324.78,17673585331.96,4763746622.83,4851444535.68,118852486853.78
2024-06-30,2024二季度,2024-08-31,2025-08-23,-2880375190.53,-2844476857.91,20855117528.58,-3657583573.59,-3461681592.280001,103373993961.58
2024-09-30,2024三季度,2024-10-31,2025-10-31,-1254900583.07,-1205162756.55,20063992738.9,-7427822907.61,-7121017619.520001,93990227697.22
2024-12-31,2024四季度,2025-04-30,2026-04-29,-2106570294.37,-2252743692.68,23989577519.28,-8592102400.42,-8721804631.92,82582273118.72
2025-03-31,2025一季度,2025-04-30,2026-04-29,-1430653676.59,-1977793624.14,13652473612.63,-7672499744.56,-8280176931.28,78561161399.39
2025-06-30,2025二季度,2025-08-23,2025-08-23,-1138704674.46,-1326347724.85,19160672786.05,-5930829228.49,-6762047798.219999,76866716656.86
2025-09-30,2025三季度,2025-10-31,2025-10-31,-834111089.95,-1149724649.0,18101421456.32,-5510039735.37,-6706609690.669999,74904145374.28
2025-12-31,2025四季度,2026-04-29,2026-04-29,-3016087402.85,-2908097986.29,19432482095.42,-6419556843.85,-7361963984.28,70347049950.42
2026-03-31,2026一季度,2026-04-29,2026-04-29,-1919902418.4,-2134583913.86,11191552278.54,-6908805585.66,-7518754273.999999,67886128616.33
